"Swelling of Lymph Nodes","Cloudiness of Eyes","Difficult Breathing","Weakness","Pale/Yellow Mucous Membranes","Depression","Not Eating","Weight Loss","Abortion","Poor Milk Production","Collapse","theileriosis"
1,0,0,1,1,1,1,0,1,0,0,"Negative"
1,1,1,1,0,0,0,1,0,0,0,"Negative"
1,1,0,1,1,1,1,0,0,1,1,"Negative"
0,1,1,0,0,0,0,0,0,0,0,"Negative"
1,1,1,1,1,1,0,1,1,0,1,"Negative"
1,1,1,1,0,1,1,0,0,0,0,"Positive"
1,1,0,0,1,0,0,0,0,0,0,"Positive"
1,0,0,0,0,1,0,0,1,0,0,"Negative"
0,0,0,1,0,0,1,0,0,1,0,"Positive"
0,0,1,1,1,1,1,0,1,0,1,"Positive"
1,1,0,1,0,0,0,1,0,1,1,"Positive"
0,1,0,0,0,1,0,1,0,1,0,"Negative"
1,0,1,1,1,0,0,1,0,0,0,"Positive"
0,0,1,0,1,0,0,0,0,0,1,"Positive"
0,1,1,0,1,0,0,0,0,1,1,"Positive"
1,0,0,1,0,0,1,1,0,1,0,"Positive"
1,1,1,0,1,0,1,1,0,1,0,"Positive"
1,0,0,0,1,1,0,0,1,0,1,"Negative"
1,1,0,0,1,0,0,1,0,0,1,"Positive"
0,0,1,1,0,1,0,0,1,0,1,"Negative"
1,0,1,1,0,1,1,0,1,0,0,"Positive"
1,1,0,1,0,1,0,0,0,1,0,"Negative"
0,1,1,1,0,0,1,0,1,1,0,"Positive"
0,0,0,0,1,1,0,1,1,1,0,"Positive"
0,0,1,0,1,1,1,1,0,1,0,"Positive"
1,1,1,0,1,1,1,0,1,0,0,"Positive"
1,0,1,1,0,0,1,1,0,0,0,"Positive"
0,1,0,1,0,1,0,1,1,0,1,"Positive"
0,0,1,1,1,1,1,0,0,1,1,"Positive"
0,0,1,0,0,1,0,0,1,0,0,"Negative"
1,0,0,0,1,0,0,0,0,1,1,"Positive"
1,1,0,1,1,1,0,1,0,0,0,"Negative"
0,1,0,0,1,1,0,0,0,1,0,"Positive"
0,1,1,1,0,0,1,1,1,0,0,"Positive"
1,1,1,1,0,1,1,0,1,1,1,"Positive"
1,0,1,0,0,1,1,0,0,1,1,"Negative"
1,1,1,0,1,0,1,1,0,1,1,"Negative"
0,1,1,1,0,0,1,0,0,1,0,"Positive"
0,0,1,0,0,1,1,0,0,0,0,"Negative"
0,0,1,0,0,0,0,1,1,0,0,"Negative"
0,1,1,0,0,0,1,1,1,1,1,"Negative"
1,0,1,0,0,1,1,1,1,1,1,"Negative"
0,1,1,1,0,1,0,1,1,0,0,"Positive"
1,0,0,1,0,0,0,1,1,1,1,"Positive"
0,1,0,0,0,1,1,1,0,0,1,"Positive"
1,1,1,0,0,1,0,0,0,1,0,"Positive"
1,0,1,0,1,1,0,0,1,0,1,"Negative"
0,1,1,0,1,0,1,1,0,1,1,"Positive"
0,1,1,1,1,1,1,1,1,1,1,"Negative"
1,0,0,0,0,0,0,0,1,1,1,"Positive"
0,1,1,0,1,1,0,0,1,0,1,"Negative"
1,1,0,1,1,0,0,0,1,0,1,"Positive"
0,1,0,1,1,0,1,0,0,0,1,"Negative"
1,1,0,0,1,1,1,0,0,1,0,"Positive"
0,1,0,1,1,0,0,0,0,0,0,"Positive"
0,0,0,0,1,1,0,0,1,1,1,"Negative"
1,1,0,1,1,0,1,0,1,0,0,"Positive"
0,1,1,1,0,0,0,0,1,0,0,"Positive"
1,0,0,1,1,0,1,0,0,0,0,"Negative"
1,0,1,0,0,0,1,1,0,0,0,"Positive"
0,0,0,0,1,0,0,0,0,0,0,"Negative"
1,0,0,1,1,0,0,0,0,0,1,"Negative"
0,1,1,1,0,0,0,1,1,0,1,"Positive"
1,1,1,0,0,0,1,0,0,0,0,"Positive"
1,0,1,0,0,1,1,0,0,0,0,"Positive"
1,0,1,0,0,1,1,0,0,1,1,"Negative"
0,0,1,1,0,0,1,1,0,0,1,"Negative"
1,0,0,0,1,0,0,0,0,1,1,"Positive"
1,1,1,0,0,0,0,0,0,0,1,"Positive"
0,1,0,0,0,0,1,0,0,1,1,"Negative"
1,0,1,1,1,1,1,1,1,1,1,"Positive"
1,1,1,0,0,1,0,1,1,1,0,"Negative"
0,1,0,1,1,1,0,1,1,1,0,"Positive"
0,1,1,0,0,1,0,1,1,1,1,"Positive"
1,0,1,1,1,1,1,0,0,0,0,"Negative"
1,0,1,0,0,0,0,1,1,1,1,"Negative"
1,0,1,1,0,0,0,0,0,0,0,"Negative"
1,0,0,1,1,1,1,0,0,1,0,"Positive"
0,1,1,1,0,1,0,1,0,0,0,"Positive"
1,1,1,0,0,0,1,1,0,1,0,"Positive"
0,1,0,0,0,0,1,1,0,0,1,"Negative"
0,1,0,0,1,1,1,1,0,0,1,"Positive"
0,0,0,0,1,1,1,1,0,0,1,"Positive"
1,1,1,0,0,0,0,1,0,0,0,"Positive"
1,1,1,0,1,0,1,0,1,0,0,"Positive"
1,0,0,1,0,0,1,0,0,0,1,"Negative"
1,1,1,1,1,0,1,1,0,1,1,"Positive"
1,0,1,1,1,0,1,1,1,1,0,"Negative"
1,0,1,1,1,1,0,1,1,0,1,"Negative"
0,1,0,0,1,1,1,1,1,1,1,"Negative"
1,0,0,0,1,0,0,0,0,1,0,"Negative"
1,0,0,0,1,1,1,1,1,1,1,"Positive"
0,1,0,0,0,1,0,1,0,1,0,"Negative"
0,1,1,1,0,1,0,0,0,1,1,"Positive"
1,0,0,0,1,0,1,1,0,0,1,"Positive"
1,0,0,0,1,0,0,0,1,1,0,"Negative"
1,1,1,0,0,1,0,0,1,0,0,"Negative"
1,0,1,1,0,0,0,0,0,1,0,"Positive"
1,1,0,1,0,0,1,1,0,1,0,"Negative"
0,0,1,1,0,1,0,1,1,0,1,"Positive"
0,0,0,0,0,1,0,0,1,1,1,"Negative"
0,1,1,0,1,0,0,0,0,0,0,"Positive"
1,1,0,1,1,0,0,1,1,1,0,"Positive"
0,1,0,0,1,1,0,1,0,1,0,"Positive"
1,0,1,0,0,0,0,1,1,0,0,"Positive"
0,1,0,0,1,0,0,1,1,0,1,"Negative"
0,1,1,0,0,1,0,1,1,0,1,"Negative"
0,1,1,0,1,1,1,0,1,0,0,"Negative"
0,0,0,0,1,1,1,0,0,0,0,"Positive"
1,1,0,1,1,1,0,1,1,0,0,"Negative"
0,0,1,1,0,0,1,1,1,0,1,"Negative"
0,1,0,0,1,1,1,0,0,0,1,"Positive"
1,0,1,0,0,0,1,0,1,1,1,"Negative"
0,1,0,0,1,0,1,0,0,0,0,"Negative"
0,0,0,1,0,1,1,0,1,0,0,"Positive"
1,0,1,0,0,1,0,1,0,0,0,"Negative"
1,0,0,1,0,1,1,1,0,1,1,"Positive"
0,1,1,0,0,0,0,0,0,1,0,"Positive"
0,0,1,0,1,0,1,0,1,1,0,"Negative"
1,1,1,0,0,0,1,1,1,0,0,"Positive"
0,0,1,0,0,0,1,1,1,1,0,"Negative"
0,0,1,0,1,1,0,0,1,1,1,"Negative"
0,0,1,0,1,0,1,0,0,0,1,"Positive"
0,0,0,0,0,1,1,1,1,1,0,"Positive"
1,1,1,0,0,1,0,0,1,1,1,"Positive"
1,1,1,0,0,1,1,1,1,1,1,"Positive"
0,0,1,1,0,0,0,0,1,0,1,"Positive"
0,1,1,1,0,0,0,1,1,0,0,"Positive"
0,0,0,0,0,1,1,1,1,0,0,"Positive"
0,0,1,0,1,0,1,1,1,1,0,"Positive"
1,1,0,1,0,1,1,1,0,0,0,"Positive"
0,1,1,0,0,1,1,1,1,1,0,"Positive"
1,1,1,0,0,0,1,0,1,1,1,"Positive"
1,1,1,1,1,1,1,0,1,1,0,"Negative"
0,0,1,1,1,0,1,1,0,0,1,"Positive"
1,1,1,0,0,1,0,0,0,0,0,"Positive"
0,1,1,0,0,1,1,0,0,1,0,"Negative"
1,1,0,0,1,0,0,1,1,0,1,"Positive"
0,1,0,0,0,1,1,1,0,1,1,"Negative"
0,0,1,1,1,1,0,1,1,1,1,"Positive"
0,0,0,1,0,0,1,1,0,0,0,"Negative"
1,1,0,1,1,1,0,0,1,0,0,"Negative"
1,0,0,0,1,1,0,0,0,1,0,"Negative"
0,0,1,1,0,0,1,1,0,0,1,"Positive"
1,1,0,0,0,1,1,0,0,1,1,"Positive"
0,1,0,1,0,0,0,1,0,1,0,"Positive"
1,0,0,1,0,0,1,0,1,0,0,"Positive"
0,0,1,0,1,1,1,1,1,0,0,"Positive"
1,1,0,1,0,1,0,0,1,1,1,"Positive"
1,1,0,0,0,1,0,1,1,0,0,"Negative"
1,1,0,0,1,1,1,1,1,0,1,"Negative"
1,1,1,1,1,1,0,0,0,1,1,"Positive"
0,0,0,0,0,0,1,0,1,1,0,"Negative"
0,1,0,0,1,1,1,1,0,0,0,"Positive"
1,0,0,1,0,0,0,0,1,0,0,"Positive"
0,0,0,1,0,0,0,0,0,1,1,"Positive"
0,0,0,0,1,1,0,0,0,1,0,"Positive"
1,1,1,1,0,1,1,1,0,0,1,"Negative"
0,1,0,0,0,1,0,0,1,0,0,"Positive"
1,1,0,1,0,1,0,1,1,0,0,"Negative"
1,0,0,0,0,0,1,0,0,0,0,"Negative"
1,0,1,0,1,0,0,0,1,1,0,"Positive"
1,0,0,1,0,1,1,0,0,0,1,"Negative"
1,1,0,0,0,1,1,1,1,1,0,"Positive"
1,1,1,1,1,0,1,0,0,1,0,"Positive"
0,0,1,0,1,1,0,0,0,1,0,"Positive"
1,0,0,0,0,1,1,0,1,1,1,"Negative"
0,0,1,0,1,1,1,1,0,0,0,"Positive"
0,1,1,1,1,1,1,0,0,0,1,"Positive"
0,1,0,1,0,1,1,1,0,1,0,"Positive"
0,0,1,1,0,0,0,0,1,1,0,"Negative"
0,0,0,1,0,1,1,1,0,0,0,"Negative"
1,0,1,0,0,1,0,1,1,1,0,"Positive"
0,1,0,1,0,1,0,0,0,0,0,"Negative"
1,1,0,1,1,1,1,1,1,0,1,"Positive"
1,1,1,1,1,1,1,0,0,0,1,"Negative"
1,1,1,0,0,1,1,0,0,0,1,"Positive"
1,0,1,1,0,0,1,1,0,0,1,"Positive"
1,1,0,1,1,1,0,1,0,1,1,"Negative"
1,1,0,0,1,1,0,0,1,0,0,"Negative"
0,1,1,1,1,0,0,0,0,1,0,"Negative"
0,0,1,0,1,0,1,1,1,0,1,"Negative"
1,1,0,0,0,0,0,0,0,1,0,"Negative"
0,0,0,1,0,1,1,1,1,0,0,"Negative"
0,1,0,0,0,1,1,1,0,0,0,"Negative"
0,1,1,1,1,0,0,1,0,1,0,"Negative"
0,0,1,1,1,0,1,1,1,0,1,"Negative"
0,1,1,0,1,0,1,1,0,1,1,"Positive"
1,1,1,0,1,0,1,1,1,0,0,"Positive"
1,0,0,1,1,0,0,1,0,0,1,"Positive"
1,0,1,0,0,0,0,1,0,1,1,"Negative"
0,0,0,1,1,0,1,0,0,0,1,"Negative"
0,0,0,1,1,1,0,0,0,1,0,"Positive"
1,1,1,1,0,1,1,0,1,1,0,"Positive"
1,0,0,1,0,1,0,0,1,1,1,"Positive"
1,1,0,0,0,0,0,0,0,1,0,"Negative"
0,1,1,1,0,0,1,0,1,1,1,"Negative"
0,0,1,0,0,1,0,1,0,1,0,"Negative"
1,1,0,1,0,1,0,0,0,0,0,"Positive"
0,1,1,0,0,1,1,1,1,1,1,"Negative"
1,0,0,0,1,0,0,1,1,1,0,"Positive"
0,1,0,0,1,0,0,0,1,1,0,"Negative"
0,0,1,1,1,0,1,1,1,1,1,"Negative"
0,1,0,0,1,0,1,1,0,1,0,"Negative"
0,1,1,0,0,1,1,1,1,0,1,"Positive"
1,0,0,0,1,0,0,0,1,1,1,"Positive"
0,1,1,0,0,1,1,1,1,0,1,"Negative"
0,0,1,1,1,0,1,1,0,1,0,"Negative"
0,1,0,0,1,0,1,0,1,0,1,"Negative"
1,0,1,0,1,1,1,1,0,0,1,"Negative"
0,0,0,1,0,0,1,1,0,1,1,"Positive"
1,0,1,1,0,1,0,1,0,0,1,"Negative"
0,1,1,0,1,0,0,0,1,0,1,"Positive"
0,0,1,0,1,1,1,1,0,1,1,"Positive"
0,1,0,0,0,1,0,1,1,1,1,"Positive"
0,1,0,1,1,0,0,1,1,1,1,"Negative"
1,1,0,0,0,0,1,0,1,1,1,"Negative"
0,1,0,0,1,1,0,1,0,1,1,"Negative"
1,0,1,0,0,0,0,0,1,1,0,"Positive"
0,1,1,1,0,1,0,0,0,1,0,"Negative"
0,0,0,0,0,1,1,1,1,1,0,"Negative"
1,1,1,0,1,1,0,0,1,1,0,"Positive"
0,1,0,1,1,0,0,0,0,0,0,"Positive"
0,0,0,0,0,1,0,0,1,1,1,"Negative"
0,1,1,1,0,1,0,0,1,1,1,"Negative"
1,1,1,1,1,0,1,0,0,0,1,"Positive"
1,1,0,0,0,1,1,1,1,0,0,"Positive"
1,0,1,0,0,1,0,0,1,0,0,"Negative"
1,0,1,0,1,1,0,1,1,1,0,"Negative"
0,0,1,1,1,1,1,0,0,0,1,"Positive"
0,0,1,1,1,0,1,1,1,0,1,"Positive"
1,1,0,0,0,0,1,0,1,0,0,"Negative"
0,0,0,0,1,0,0,0,1,0,1,"Positive"
1,1,1,1,1,1,0,0,1,1,1,"Negative"
1,1,1,0,0,0,1,0,0,0,0,"Positive"
0,1,1,0,0,0,1,0,0,1,1,"Positive"
0,0,1,0,1,0,0,1,1,0,0,"Negative"
0,0,0,0,1,0,0,0,0,0,0,"Negative"
0,1,0,0,1,0,0,1,1,1,0,"Positive"
1,1,1,1,0,0,1,0,0,1,0,"Negative"
0,1,1,1,1,0,0,0,1,0,1,"Negative"
0,0,1,1,1,1,1,0,0,0,1,"Positive"
1,0,0,0,1,0,1,1,0,0,0,"Negative"
0,0,0,1,0,1,1,0,0,0,0,"Negative"
1,1,0,1,1,1,0,1,1,0,0,"Negative"
1,0,1,1,0,0,0,0,0,1,1,"Positive"
1,0,0,1,0,1,1,0,1,1,0,"Negative"
0,1,1,1,1,1,1,1,0,1,1,"Negative"
1,0,1,1,0,1,1,0,0,0,1,"Positive"
0,0,1,0,1,1,1,0,1,1,0,"Positive"
1,0,0,1,1,1,0,1,0,0,0,"Positive"
0,1,0,0,0,0,0,1,0,0,1,"Negative"
0,1,1,1,0,1,1,0,0,1,0,"Positive"
1,0,0,0,0,0,0,0,1,1,0,"Positive"
0,0,1,1,1,0,0,0,1,1,1,"Positive"
0,1,0,1,1,1,1,1,1,0,1,"Positive"
0,0,1,1,1,0,1,0,0,0,1,"Positive"
1,0,1,1,0,0,1,1,0,0,1,"Positive"
1,1,0,1,0,1,0,1,0,1,0,"Negative"
0,1,1,1,0,0,1,0,1,0,1,"Negative"
1,1,0,1,1,0,0,0,1,1,1,"Negative"
1,0,1,0,0,0,0,1,0,0,1,"Negative"
0,1,1,0,0,0,0,0,0,1,1,"Positive"
0,1,1,1,0,0,1,1,0,0,0,"Positive"
1,1,1,0,1,0,1,0,0,0,0,"Positive"
1,1,1,0,0,0,0,1,0,1,1,"Negative"
1,0,0,0,0,0,1,0,0,1,0,"Positive"
0,1,1,1,0,1,0,1,0,0,1,"Negative"
1,0,1,1,0,0,1,1,0,1,0,"Negative"
1,0,1,1,0,1,1,1,0,1,1,"Negative"
1,1,0,1,0,1,1,1,1,0,1,"Negative"
1,1,1,0,0,0,0,0,0,0,0,"Negative"
1,1,1,0,0,0,0,0,0,0,1,"Positive"
1,1,1,0,1,1,0,1,0,1,1,"Negative"
0,0,0,0,1,1,1,1,0,0,0,"Positive"
1,1,1,1,0,1,1,0,1,1,0,"Positive"
1,1,1,1,1,0,1,0,0,0,1,"Negative"
1,0,1,1,1,0,1,1,1,1,0,"Positive"
0,1,0,1,0,0,0,0,1,0,1,"Positive"
1,1,0,1,1,1,0,0,0,1,1,"Negative"
1,1,0,1,1,1,0,0,0,0,1,"Negative"
1,0,0,1,1,1,1,0,1,1,0,"Positive"
1,1,1,1,0,1,0,1,0,0,1,"Negative"
1,0,1,1,1,0,0,1,1,1,0,"Negative"
0,0,1,0,0,0,0,1,0,0,1,"Positive"
1,0,0,1,0,0,0,1,1,0,1,"Positive"
1,0,0,1,1,0,1,0,0,0,1,"Negative"
0,1,1,1,0,0,1,0,0,1,1,"Negative"
1,1,1,0,0,1,0,1,1,1,0,"Positive"
0,0,0,0,1,1,1,0,0,0,1,"Negative"
1,0,1,1,1,1,0,0,1,1,0,"Negative"
1,1,0,0,0,0,0,0,0,0,1,"Negative"
0,0,1,1,1,1,0,1,0,0,0,"Positive"
1,0,1,1,1,0,1,0,1,0,1,"Positive"
1,0,1,1,1,1,0,1,0,0,1,"Positive"
0,0,0,0,1,0,1,0,0,1,0,"Negative"
1,1,1,1,0,1,0,0,0,0,0,"Positive"
0,1,1,1,0,0,1,1,1,0,0,"Negative"
0,0,0,1,1,0,1,1,0,0,0,"Negative"
1,0,0,0,0,0,0,0,0,1,0,"Positive"
0,0,0,0,1,1,0,0,1,1,1,"Negative"
0,1,0,0,0,0,1,0,0,0,1,"Negative"
1,1,0,1,0,0,0,1,1,1,1,"Positive"
1,1,0,1,1,1,0,0,1,1,1,"Negative"
0,1,1,1,1,0,0,1,0,0,0,"Negative"
0,0,1,0,1,0,1,0,1,0,1,"Negative"
0,1,1,0,0,0,0,1,1,0,1,"Positive"
1,1,0,0,0,1,1,0,0,0,0,"Positive"
0,0,0,0,1,1,1,0,1,1,1,"Negative"
0,0,1,1,0,0,0,0,0,1,1,"Positive"
1,0,0,1,1,0,0,0,0,0,1,"Negative"
1,1,1,1,0,0,0,1,0,1,1,"Positive"
1,1,1,0,1,1,1,0,1,0,0,"Negative"
1,1,1,0,1,1,0,0,0,0,1,"Positive"
0,0,1,0,0,1,1,0,0,1,0,"Negative"
1,1,1,1,0,0,1,0,1,1,0,"Positive"
0,1,1,0,1,0,0,0,1,0,1,"Positive"
0,1,1,1,0,0,0,1,1,1,0,"Positive"
1,1,0,0,1,1,1,0,1,1,1,"Negative"
1,1,0,0,0,0,1,0,0,0,1,"Positive"
0,0,1,1,1,1,0,1,0,1,0,"Positive"
1,1,0,0,0,0,1,1,0,0,0,"Positive"
0,0,1,1,1,0,1,0,1,1,1,"Negative"
1,1,0,1,1,1,0,0,0,0,1,"Negative"
0,0,1,0,1,0,0,0,1,1,1,"Negative"
0,0,0,0,0,1,1,0,0,0,0,"Positive"
0,0,0,0,1,0,0,0,0,0,1,"Positive"
1,1,1,0,1,1,1,0,0,1,1,"Positive"
0,0,1,0,0,0,1,0,1,0,0,"Negative"
0,1,0,1,0,0,1,1,0,1,1,"Negative"
1,0,0,1,1,1,1,0,0,1,1,"Positive"
1,0,0,0,1,1,1,0,0,1,0,"Positive"
0,0,0,1,1,0,0,0,1,0,1,"Positive"
0,1,0,1,0,1,0,0,1,1,0,"Negative"
1,0,1,0,1,1,0,0,0,1,0,"Positive"
0,0,0,1,1,1,0,1,1,1,0,"Negative"
1,1,1,0,0,0,0,0,1,0,1,"Negative"
0,1,1,0,0,0,0,1,0,0,0,"Positive"
0,0,0,0,1,1,1,1,0,1,1,"Positive"
1,1,1,0,0,0,1,0,0,0,0,"Negative"
1,0,1,1,0,0,0,0,0,1,0,"Positive"
1,0,1,1,0,1,1,1,0,0,0,"Negative"
0,0,0,1,0,0,1,0,1,1,1,"Negative"
1,1,0,1,0,0,0,0,1,0,0,"Positive"
1,1,1,1,1,1,0,0,1,1,0,"Positive"
1,0,0,0,1,1,1,0,1,1,0,"Negative"
0,0,0,0,1,1,1,1,0,0,1,"Positive"
1,0,1,1,0,1,0,1,1,0,1,"Positive"
0,1,0,1,1,1,1,0,1,1,0,"Negative"
0,1,1,0,0,1,1,1,1,1,1,"Positive"
1,0,1,1,1,0,1,1,1,0,0,"Negative"
0,0,0,1,0,0,0,1,1,0,1,"Negative"
1,0,1,0,0,1,1,1,1,0,1,"Negative"
0,0,0,1,1,0,1,1,0,0,1,"Positive"
1,1,0,0,0,0,0,0,0,0,1,"Negative"
1,0,1,1,0,1,0,1,1,1,0,"Positive"
0,1,1,1,1,1,1,1,0,1,1,"Positive"
1,0,1,1,0,0,1,0,1,1,1,"Positive"
0,0,0,0,1,0,1,1,1,0,1,"Positive"
1,1,0,1,0,1,1,1,1,0,1,"Negative"
1,0,0,0,0,1,0,1,0,0,0,"Negative"
1,0,0,1,1,1,1,0,1,1,1,"Positive"
0,1,0,1,0,0,0,0,1,0,1,"Positive"
1,0,0,0,0,0,0,0,1,1,1,"Positive"
0,0,1,1,0,0,1,0,1,0,1,"Positive"
1,1,1,0,0,0,1,1,1,0,1,"Negative"
0,0,1,0,1,1,0,1,1,0,0,"Negative"
1,1,0,0,1,0,0,1,0,0,0,"Positive"
0,1,0,0,1,0,0,1,0,1,1,"Negative"
0,1,0,0,0,0,0,1,0,0,0,"Positive"
1,1,1,0,1,0,0,1,0,1,1,"Positive"
0,0,1,1,0,0,0,1,0,1,0,"Negative"
1,0,1,1,1,0,1,1,0,0,0,"Positive"
0,1,1,0,1,0,1,1,0,0,0,"Positive"
1,0,0,1,1,0,1,0,1,1,0,"Positive"
0,0,0,1,1,1,0,1,1,0,1,"Negative"
1,1,1,1,1,1,0,0,0,1,0,"Negative"
1,1,0,0,0,1,0,0,0,0,0,"Positive"
1,1,1,1,1,1,1,0,0,0,0,"Negative"
0,0,0,0,0,1,1,1,1,0,1,"Positive"
0,0,0,0,1,1,0,0,1,0,0,"Positive"
1,0,0,1,1,0,0,1,0,1,0,"Negative"
1,0,1,0,0,1,0,0,1,1,1,"Positive"
1,0,0,1,1,0,0,0,0,0,1,"Negative"
0,0,0,1,0,0,0,1,1,1,0,"Positive"
0,1,1,0,1,0,0,1,1,1,1,"Positive"
0,1,1,0,0,0,1,1,0,1,1,"Positive"
1,0,1,1,1,0,0,0,1,0,1,"Negative"
0,1,0,0,0,0,0,1,1,1,0,"Positive"
0,1,1,1,1,1,0,1,1,1,0,"Negative"
1,0,0,1,1,0,1,0,1,1,1,"Negative"
0,0,1,0,1,0,0,1,0,0,0,"Positive"
0,0,0,0,1,1,0,1,0,1,0,"Positive"
1,0,1,0,1,1,0,0,0,1,0,"Negative"
1,1,0,0,0,0,1,0,0,0,0,"Negative"
0,1,0,1,1,1,1,0,1,1,0,"Positive"
1,0,0,1,0,1,0,1,1,0,0,"Negative"
1,1,1,1,0,1,0,1,1,1,1,"Negative"
0,1,1,0,1,0,1,0,1,0,0,"Negative"
0,0,0,1,1,1,1,0,1,0,1,"Negative"
0,0,1,0,1,0,1,1,1,0,1,"Negative"
1,1,0,0,0,0,0,1,0,0,1,"Negative"
1,0,1,0,0,1,0,0,0,1,1,"Negative"
1,1,0,0,1,1,0,1,0,1,0,"Negative"
1,0,1,0,0,1,1,1,0,1,1,"Negative"
0,0,1,0,1,1,0,1,0,0,1,"Negative"
1,0,1,0,0,1,1,0,1,1,0,"Negative"
1,1,1,0,1,1,0,0,1,1,1,"Negative"
1,1,1,1,1,1,1,1,0,0,1,"Negative"
1,1,0,0,1,0,1,1,1,0,1,"Negative"
0,1,1,1,1,0,0,0,0,1,0,"Negative"
1,1,0,0,1,1,0,1,0,0,0,"Positive"
0,1,0,1,0,0,0,0,1,0,0,"Positive"
1,1,0,0,0,1,1,0,0,1,1,"Positive"
1,1,0,1,0,0,1,0,1,0,1,"Negative"
0,0,0,1,1,0,1,0,0,0,1,"Positive"
1,1,1,0,1,0,0,1,0,0,1,"Negative"
1,1,1,0,0,0,1,0,0,1,1,"Negative"
1,0,0,0,0,1,0,0,0,1,1,"Negative"
0,0,1,1,1,0,1,0,1,1,1,"Negative"
1,0,0,1,0,0,0,1,0,1,1,"Positive"
1,1,1,1,1,1,1,1,0,1,1,"Negative"
0,1,1,1,0,1,0,1,0,0,1,"Positive"
1,1,0,0,1,1,1,1,1,1,0,"Positive"
1,0,1,0,0,0,1,0,0,1,1,"Negative"
1,1,1,1,0,1,1,1,0,0,0,"Positive"
1,1,0,1,1,1,0,0,1,0,0,"Positive"
0,1,1,0,0,1,1,0,1,0,1,"Negative"
0,1,1,0,0,0,1,0,0,1,0,"Positive"
1,1,0,0,1,0,1,0,0,0,1,"Negative"
0,1,1,1,1,1,0,0,0,0,0,"Positive"
1,0,0,0,0,1,0,1,0,0,0,"Positive"
0,1,0,0,1,0,0,0,1,1,1,"Positive"
1,0,1,1,1,0,1,1,0,0,1,"Positive"
0,1,0,0,0,0,1,1,1,1,0,"Negative"
1,0,1,1,0,1,0,0,1,1,1,"Negative"
0,1,1,0,0,1,1,0,0,1,0,"Positive"
0,0,1,0,0,1,0,0,1,1,1,"Negative"
1,1,1,1,0,0,0,1,0,1,0,"Positive"
1,1,0,1,1,1,0,1,1,1,0,"Negative"
1,1,1,1,0,0,1,1,1,1,1,"Negative"
1,1,0,0,0,0,1,0,1,1,0,"Negative"
0,1,1,1,1,0,1,0,0,1,0,"Positive"
1,1,0,1,1,1,1,0,1,0,1,"Negative"
0,1,0,1,0,0,1,1,0,0,1,"Negative"
1,0,1,1,0,1,1,0,0,1,1,"Negative"
0,1,1,1,0,1,1,1,0,0,0,"Negative"
1,0,0,1,0,0,0,1,1,1,1,"Negative"
1,0,1,1,0,0,1,0,1,1,0,"Negative"
0,1,1,0,0,0,1,0,1,1,1,"Negative"
0,1,1,1,0,0,0,1,0,1,1,"Positive"
0,0,0,0,1,1,1,0,0,1,1,"Negative"
1,0,0,0,1,1,1,0,1,0,0,"Positive"
0,1,0,1,1,1,1,0,1,0,0,"Positive"
0,1,0,1,1,1,0,1,0,1,1,"Positive"
1,0,0,1,1,0,0,0,0,1,1,"Positive"
1,0,0,0,0,1,0,1,1,1,0,"Positive"
0,0,0,0,0,1,0,1,1,0,0,"Positive"
0,1,0,1,1,1,1,1,0,0,1,"Negative"
0,1,0,1,1,0,1,0,0,0,0,"Negative"
1,1,1,0,1,0,1,0,1,1,0,"Positive"
0,1,1,0,0,0,1,1,0,0,1,"Positive"
1,1,1,1,1,1,1,1,0,0,1,"Negative"
0,1,0,0,1,1,0,1,1,0,0,"Positive"
1,0,1,0,1,1,0,0,0,1,0,"Positive"
1,1,0,1,1,1,1,1,1,0,0,"Negative"
0,1,1,1,0,1,0,1,0,0,0,"Positive"
0,1,1,1,1,1,0,0,0,1,1,"Negative"
0,1,0,0,0,0,0,0,0,1,0,"Negative"
0,0,0,1,1,1,1,1,1,1,0,"Positive"
1,1,1,1,1,0,1,0,1,0,0,"Negative"
1,1,0,1,1,0,1,1,0,0,0,"Positive"
0,0,0,0,1,0,1,1,0,0,1,"Negative"
1,0,0,1,0,1,0,0,0,1,0,"Positive"
1,1,1,0,0,1,1,1,1,1,0,"Positive"
1,1,0,1,1,1,0,1,1,0,0,"Negative"
1,1,1,0,0,1,0,0,1,0,0,"Negative"
0,0,1,1,1,0,1,1,0,0,1,"Negative"
0,1,0,1,0,0,1,1,0,0,0,"Negative"
0,1,0,0,0,1,0,1,1,1,0,"Positive"
0,0,1,0,1,1,1,0,1,0,0,"Positive"
1,0,1,1,0,1,0,0,0,1,0,"Positive"
0,0,0,1,1,0,0,1,1,1,0,"Negative"
1,0,0,1,0,0,0,0,1,1,1,"Positive"
0,0,1,1,0,0,0,0,0,0,0,"Positive"
1,1,1,1,0,1,1,1,0,0,1,"Positive"
1,0,1,0,0,0,0,1,0,0,1,"Positive"
1,1,1,1,0,1,0,0,0,0,0,"Positive"
1,0,0,1,1,0,1,0,1,1,0,"Negative"
1,1,1,1,0,0,0,0,0,0,0,"Negative"
1,1,0,0,1,1,1,0,1,1,0,"Positive"
0,0,1,0,0,1,0,0,0,0,1,"Negative"
0,1,1,0,1,0,0,0,1,1,0,"Negative"
0,0,0,0,0,0,1,1,0,1,1,"Negative"
0,1,0,0,0,1,0,1,0,0,1,"Positive"
0,1,1,1,0,0,0,0,1,0,0,"Negative"
